<sil>	SIL	sil
あ	ア	a
あいだ	アイダ	a i d a
あえ	アエ	a e
あそこ	アソコ	a s o k o
あたり	アタリ	a t a r i
あっ	アッ	a q
あなた	アナタ	a n a t a
あの	アノ	a n o
あまり	アマリ	a m a r i
あまりに	アマリニ	a m a r i n i
あり	アリ	a r i
ありがとう	アリガトウ	a r i g a t o long
ある	アル	a r u
あるいは	アルイハ	a r u i h a
あれ	アレ	a r e
あん	アン	a ng
あゝ	アア	a long
あッ	アッ	a q
あー	アー	a long
い	イ	i
いい	イイ	i i
いい	ユイ	y u i
いくら	イクラ	i k u r a
いただき	イタダキ	i t a d a k i
いっ	イッ	i q
いっしょ	イッショ	i q sh o
いっぱい	イッパイ	i q p a i
いつ	イツ	i ts u
いる	イル	i r u
いろいろ	イロイロ	i r o i r o
いろんな	イロンナ	i r o ng n a
いわゆる	イワユル	i w a y u r u
いん	イン	i ng
う	ウ	u
うい	ウイ	u i
うぅ	ウゥ	u long
うう	ウウ	u long
うえ	ウエ	u e
うさぎ	ウサギ	u s a g i
うまく	ウマク	u m a k u
うん	ウン	u ng
え	エ	e
えい	エイ	e i
ええ	エエ	e long
えっ	エッ	e q
えん	エン	e ng
えッ	エッ	e q
えー	エー	e long
お	オ	o
おい	オイ	o i
おいしい	オイシイ	o i sh i i
おう	オウ	o u
おえ	オエ	o e
おぉ	オォ	o long
おお	オオ	o o
おじいさん	オジイサン	o j i long s a ng
おそらく	オソラク	o s o r a k u
おはよう	オハヨウ	o h a y o long
おばあさん	オバアサン	o b a long s a ng
おめでとう	オメデトウ	o m e d e t o long
おやすみなさい	オヤスミナサイ	o y a s u m i n a s a i
おん	オン	o ng
お前	オマエ	o m a e
お参り	オマイリ	o m a i r i
お客様	オキャクサマ	o k y a k u s a m a
お寺	オテラ	o t e r a
お正月	オショウガツ	o sh o long g a ts u
お母さん	オカアサン	o k a long s a ng
お父さん	オトウサン	o t o long s a ng
お疲れ様	オツカレサマ	o ts u k a r e s a m a
お祭り	オマツリ	o m a ts u r i
お腹	オナカ	o n a k a
お茶	オチャ	o ch a
お金	オカネ	o k a n e
お願い	オネガイ	o n e g a i
か	カ	k a
かかっ	カカッ	k a k a q
かぎり	カギリ	k a g i r i
かける	カケル	k a k e r u
から	カラ	k a r a
かわいい	カワイイ	k a w a i i
が	ガ	g a
き	キ	k i
きっと	キット	k i q t o
きれい	キレイ	k i r e i
く	ク	k u
ください	クダサイ	k u d a s a i
くらい	クライ	k u r a i
くれる	クレル	k u r e r u
ぐらい	グライ	g u r a i
け	ケ	k e
けど	ケド	k e d o
けれど	ケレド	k e r e d o
けれども	ケレドモ	k e r e d o m o
げ	ゲ	g e
こ	コ	k o
こういう	コウイウ	k o u i u
ここ	ココ	k o k o
こちら	コチラ	k o ch i r a
こと	コト	k o t o
この	コノ	k o n o
これ	コレ	k o r e
これから	コレカラ	k o r e k a r a
これら	コレラ	k o r e r a
こんな	コンナ	k o ng n a
こんなに	コンナニ	k o ng n a n i
こんにちは	コンニチハ	k o ng n i ch i w a
こんばんは	コンバンハ	k o ng b a ng w a
ご	ゴ	g o
ござい	ゴザイ	g o z a i
ごちそうさま	ゴチソウサマ	g o ch i s o long s a m a
ごはん	ゴハン	g o h a ng
ごめんなさい	ゴメンナサイ	g o m e ng n a s a i
ご飯	ゴハン	g o h a ng
さ	サ	s a
さすが	サスガ	s a s u g a
さらに	サラニ	s a r a n i
し	シ	sh i
しか	シカ	sh i k a
しかし	シカシ	sh i k a sh i
しかして	シカシテ	sh i k a sh i t e
しかも	シカモ	sh i k a m o
しばらく	シバラク	sh i b a r a k u
しまう	シマウ	sh i m a u
しまっ	シマッ	sh i m a q
しよ	シヨ	sh i y o
しれ	シレ	sh i r e
じ	ジ	j i
じっと	ジット	j i q t o
す	ス	s u
すぎる	スギル	s u g i r u
すぐ	スグ	s u g u
すっかり	スッカリ	s u q k a r i
すでに	スデニ	s u d e n i
すべて	スベテ	s u b e t e
すみません	スミマセン	s u m i m a s e ng
する	スル	s u r u
