<sil>	SIL	sil
いい	イイ	i i
いい	ユイ	y u i
お茶	オチャ	o ch a
かける	カケル	k a k e r u
が	ガ	g a
ごはん	ゴハン	g o h a ng
する	スル	s u r u
で	デ	d e
です	デス	d e s u
と	ト	t o
に	ニ	n i
は	ハ	h a
は	ハ	w a
まで	マデ	m a d e
やる	ヤル	y a r u
を	ヲ	o
ジュース	ジュース	j u long s u
タワー	タワー	t a w a long
チャンネル	チャンネル	ch a ng n e r u
パン	パン	p a ng
ピアノ	ピアノ	p i a n o
ファイル	ファイル	f a i r u
乗る	ノル	n o r u
今日	キョウ	k y o long
今日	コンニチ	k o ng n i ch i
仕事	シゴト	sh i g o t o
会議	カイギ	k a i g i
作る	ツクル	ts u k u r u
入る	イル	i r u
入る	ハイル	h a i r u
公園	コウエン	k o long e ng
写真	シャシン	sh a sh i ng
切る	キル	k i r u
勉強	ベンキョウ	b e ng k y o long
友達	トモダチ	t o m o d a ch i
咲く	サク	s a k u
変える	カエル	k a e r u
天気	テンキ	t e ng k i
始まる	ハジマル	h a j i m a r u
学校	ガッコウ	g a q k o long
守る	マモル	m a m o r u
宿題	シュクダイ	sh u k u d a i
寝る	ネル	n e r u
履く	ハク	h a k u
山	サン	s a ng
山	ヤマ	y a m a
川	カワ	k a w a
川	ガワ	g a w a
弾く	ハジク	h a j i k u
弾く	ヒク	h i k u
手紙	テガミ	t e g a m i
折る	オル	o r u
掃除	ソウジ	s o long j i
撮る	トル	t o r u
散歩	サンポ	s a ng p o
料理	リョウリ	r y o long r i
新聞	シンブン	sh i ng b u ng
旅行	リョコウ	r y o k o long
日本語	ニッポンゴ	n i q p o ng g o
日本語	ニホンゴ	n i h o ng g o
映画	エイガ	e i g a
書く	カク	k a k u
朝	アサ	a s a
朝	チョウ	ch o long
本	ホン	h o ng
本	モト	m o t o
東京	トウキョウ	t o long k y o long
歩く	アルク	a r u k u
泳ぐ	オヨグ	o y o g u
海	ウミ	u m i
海	カイ	k a i
焼く	ヤク	y a k u
犬	イヌ	i n u
犬	ケン	k e ng
猫	ネコ	n e k o
病院	ビョウイン	b y o long i ng
登る	ノボル	n o b o r u
積もる	ツモル	ts u m o r u
空	カラ	k a r a
空	クウ	k u long
空	ソラ	s o r a
窓	マド	m a d o
約束	ヤクソク	y a k u s o k u
紙	カミ	k a m i
紙	シ	sh i
終わる	オワル	o w a r u
聴く	キク	k i k u
自転車	ジテンシャ	j i t e ng sh a
花	ハナ	h a n a
荷物	ニモツ	n i m o ts u
行く	イク	i k u
行く	ユク	y u k u
見る	ミル	m i r u
話す	ハナス	h a n a s u
読む	ヨム	y o m u
買い物	カイモノ	k a i m o n o
買う	カウ	k a u
走る	ハシル	h a sh i r u
遊ぶ	アソブ	a s o b u
運ぶ	ハコブ	h a k o b u
部屋	ヘヤ	h e y a
野菜	ヤサイ	y a s a i
釣る	ツル	ts u r u
開く	アク	a k u
開く	ヒラク	h i r a k u
開ける	アケル	a k e r u
開ける	ヒラケル	h i r a k e r u
降る	クダル	k u d a r u
降る	フル	f u r u
雨	アメ	a m e
雨	ウ	u
雪	ススギ	s u s u g i
雪	セツ	s e ts u
雪	ユキ	y u k i
電話	デンワ	d e ng w a
電車	デンシャ	d e ng sh a
青い	アオイ	a o i
靴	クツ	k u ts u
音楽	オンガク	o ng g a k u
風呂	フロ	f u r o
飛ぶ	トブ	t o b u
食べる	タベル	t a b e r u
飲む	ノム	n o m u
駅	エキ	e k i
魚	ウオ	u o
魚	ギョ	g y o
魚	サカナ	s a k a n a
鳥	トリ	t o r i
あっ	アッ	a q
あの	アノ	a n o
ありがとう	アリガトウ	a r i g a t o long
ある	アル	a r u
あれ	アレ	a r e
い	イ	i
いくら	イクラ	i k u r a
いただき	イタダキ	i t a d a k i
いつ	イツ	i ts u
いる	イル	i r u
うさぎ	ウサギ	u s a g i
おいしい	オイシイ	o i sh i i
おじいさん	オジイサン	o j i long s a ng
おはよう	オハヨウ	o h a y o long
おばあさん	オバアサン	o b a long s a ng
おめでとう	オメデトウ	o m e d e t o long
おやすみなさい	オヤスミナサイ	o y a s u m i n a s a i
